,Title,F,M,MovieID,Rating,No.,MovieID,Genres
692,"City of Lost Children, The (1995)",4.073529412,4.059701493,29,4.062034739,806,29,Adventure|Sci-Fi
2968,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.875,3.586206897,30,3.648648649,74,30,Drama
845,Dangerous Minds (1995),3.222222222,3.045977011,31,3.113475177,141,31,Drama
3453,Twelve Monkeys (1995),3.845323741,3.96836983,32,3.945731304,3022,32,Drama|Sci-Fi
3640,Wings of Courage (1995),,3,33,3,8,33,Adventure|Romance
245,Babe (1995),3.953367876,3.860921502,34,3.891490577,5253,34,Children's|Comedy|Drama
608,Carrington (1995),3.25,3.382352941,35,3.314285714,140,35,Drama|Romance
867,Dead Man Walking (1995),4.029605263,3.923076923,36,3.957974138,928,36,Drama
48,Across the Sea of Time (1995),4.333333333,3,37,3.5,8,37,Documentary
1720,It Takes Two (1995),3.214285714,2.428571429,38,2.821428571,28,38,Comedy
716,Clueless (1995),3.827004219,3.51463964,39,3.623348018,2724,39,Comedy|Romance
813,"Cry, the Beloved Country (1995)",4.285714286,3.625,40,3.933333333,30,40,Drama
2790,Richard III (1995),3.95,3.961538462,41,3.958677686,484,41,Drama|War
871,Dead Presidents (1995),2.944444444,2.854054054,42,2.868778281,663,42,Action|Crime|Drama
2773,Restoration (1995),3.5,3.404255319,43,3.445783133,166,43,Drama
2225,Mortal Kombat (1995),2.810810811,2.784671533,44,2.78778135,622,44,Action|Adventure
3378,To Die For (1995),3.402597403,3.433333333,45,3.424632353,1088,45,Comedy|Drama
1601,How to Make an American Quilt (1995),3.240740741,2.862068966,46,3.108433735,332,46,Drama|Romance
2936,Seven (Se7en) (1995),4,4.138285714,47,4.106420405,2274,47,Crime|Thriller
2598,Pocahontas (1995),3.159235669,2.848888889,48,2.976439791,1528,48,Animation|Children's|Musical|Romance
3597,When Night Is Falling (1995),3.692307692,3.785714286,49,3.740740741,54,49,Drama|Romance
3504,"Usual Suspects, The (1995)",4.513317191,4.518248175,50,4.517106001,3566,50,Crime|Thriller
2167,Mighty Aphrodite (1995),3.679389313,3.623333333,52,3.64037123,431,52,Comedy
1870,Lamerica (1994),5,4.666666667,53,4.75,8,53,Drama
384,"Big Green, The (1995)",3,2.307692308,54,2.56097561,82,54,Children's|Comedy
1307,Georgia (1995),3,3.125,55,3.066666667,45,55,Drama
1817,Kids of the Round Table (1995),1,2.125,56,2,27,56,Adventure|Children's|Fantasy
1563,Home for the Holidays (1995),3.571428571,3.280701754,57,3.404040404,99,57,Drama
2629,"Postino, Il (The Postman) (1994)",4.125628141,4.072847682,58,4.093812375,1002,58,Drama|Romance
748,"Confessional, The (Le Confessionnal) (1995)",1,3,59,2.75,16,59,Drama|Mystery
1683,"Indian in the Cupboard, The (1995)",3.29245283,3.179282869,60,3.212885154,1071,60,Adventure|Children's|Fantasy
1084,Eye for an Eye (1996),3.153846154,2.902439024,61,3,134,61,Drama|Thriller
2235,Mr. Holland's Opus (1995),3.747191011,3.672176309,62,3.696857671,541,62,Drama
958,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.8,2.864583333,63,2.855855856,111,63,Comedy
3469,Two if by Sea (1996),2.41025641,2.125,64,2.265822785,158,64,Comedy|Romance
400,Bio-Dome (1996),2.166666667,2.03539823,65,2.062937063,143,65,Comedy
1899,Lawnmower Man 2: Beyond Cyberspace (1996),1.75,1.662921348,66,1.670103093,194,66,Sci-Fi|Thriller
3461,Two Bits (1995),2,3.666666667,67,3.25,4,67,Drama
1248,French Twist (Gazon maudit) (1995),3.52,3.4,68,3.45,120,68,Comedy|Romance
1252,Friday (1995),3.565217391,3.68,69,3.655172414,319,69,Comedy
1268,From Dusk Till Dawn (1996),2.735714286,3.23255814,70,3.156455142,4570,70,Action|Comedy|Crime|Horror|Thriller
1097,Fair Game (1995),1.666666667,2.149425287,71,2.104166667,96,71,Action
1810,Kicking and Screaming (1995),3.566666667,3.666666667,72,3.634408602,186,72,Comedy|Drama
2196,"Misï¿½òables, Les (1995)",3.873417722,3.786206897,73,3.816964286,448,73,Drama|Musical
326,Bed of Roses (1996),3.027027027,2.891304348,74,2.975,240,74,Drama|Romance
378,Big Bully (1996),1,2,75,1.916666667,24,75,Comedy|Drama
2911,Screamers (1995),2.4,2.911392405,76,2.853932584,356,76,Sci-Fi|Thriller
2360,Nico Icon (1995),3.555555556,3.84,77,3.764705882,34,77,Documentary
801,"Crossing Guard, The (1995)",2.857142857,3.325581395,78,3.26,50,78,Drama
1790,"Juror, The (1996)",2.675675676,2.571428571,79,2.605263158,228,79,Drama|Thriller
3608,"White Balloon, The (Badkonake Sefid ) (1995)",3.909090909,3.766666667,80,3.826923077,52,80,Drama
3323,Things to Do in Denver when You're Dead (1995),2.848484848,3.240601504,81,3.162650602,498,81,Crime|Drama|Romance
187,Antonia's Line (Antonia) (1995),4.139534884,3.630434783,82,3.876404494,89,82,Drama
2447,Once Upon a Time... When We Were Colored (1995),3.5,3.76,83,3.696969697,33,83,Drama
1888,Last Summer in the Hamptons (1995),3.666666667,2.666666667,84,3.095238095,42,84,Comedy|Drama
175,Angels and Insects (1995),3.258823529,3.513761468,85,3.402061856,388,85,Drama|Romance
3614,White Squall (1996),3.277777778,3.428571429,86,3.394067797,472,86,Adventure|Drama
1004,Dunston Checks In (1996),2.269230769,2.18,87,2.210526316,152,87,Children's|Comedy
415,Black Sheep (1996),2.8,2.974522293,88,2.942708333,192,88,Comedy
2359,Nick of Time (1995),3.055555556,3.077720207,89,3.074235808,458,89,Action|Thriller
1769,"Journey of August King, The (1995)",4.5,3.25,90,3.666666667,6,90,Drama
2099,Mary Reilly (1996),2.272727273,2.381818182,92,2.340909091,176,92,Drama|Thriller
3507,Vampire in Brooklyn (1995),2.6,2.189873418,93,2.235955056,178,93,Comedy|Romance
320,Beautiful Girls (1996),3.611111111,3.8,94,3.725274725,182,94,Drama
537,Broken Arrow (1996),2.744897959,2.9,95,2.876175549,1276,95,Action|Thriller
1669,In the Bleak Midwinter (1995),3.666666667,4.142857143,96,3.923076923,13,96,Comedy
1484,"Hate (Haine, La) (1995)",4.333333333,3.657894737,97,3.75,44,97,Drama
2983,Shopping (1994),2,2,98,2,12,98,Action|Thriller
1511,Heidi Fleiss: Hollywood Madam (1995),3.214285714,3.555555556,99,3.46,50,99,Documentary
687,City Hall (1996),2.571428571,3.158878505,100,3.0625,256,100,Drama|Thriller
486,Bottle Rocket (1996),3.604651163,3.923809524,101,3.869565217,253,101,Comedy
2244,Mr. Wrong (1996),1.666666667,1.880952381,102,1.816666667,60,102,Comedy
3488,Unforgettable (1996),3.125,3.24,103,3.212121212,33,103,Thriller
1467,Happy Gilmore (1996),3.342857143,3.573800738,104,3.526392962,682,104,Comedy
527,"Bridges of Madison County, The (1995)",3.304347826,3.167487685,105,3.23255814,774,105,Drama|Romance
2396,Nobody Loves Me (Keiner liebt mich) (1994),4.5,3.125,106,3.583333333,24,106,Comedy|Drama
2265,Muppet Treasure Island (1996),3.294871795,3.084269663,107,3.1484375,1024,107,Adventure|Children's|Comedy|Musical
622,Catwalk (1995),2,3.2,108,2.857142857,7,108,Documentary
509,Braveheart (1995),4.016483516,4.297838693,110,4.23495702,7329,110,Action|Drama|War
3280,Taxi Driver (1976),4.119521912,4.200202224,111,4.183870968,2480,111,Drama|Thriller
2855,Rumble in the Bronx (1995),3.485714286,3.438,112,3.443859649,1710,112,Action|Adventure|Crime
333,Before and After (1996),2.88,3.071428571,113,2.981132075,106,113,Drama|Mystery
2087,Margaret's Museum (1995),3.5,2.6,114,3.090909091,11,114,Drama
182,Anne Frank Remembered (1995),4.0625,4.12,116,4.097560976,41,116,Documentary
3696,"Young Poisoner's Handbook, The (1995)",4,3.532258065,117,3.632911392,79,117,Crime
1652,If Lucy Fell (1996),3,3.138888889,118,3.073529412,136,118,Comedy|Romance
3163,"Steal Big, Steal Little (1995)",3,2.3,119,2.461538462,13,119,Comedy
2706,Race the Sun (1996),2.5,3,120,2.666666667,3,120,Drama
499,"Boys of St. Vincent, The (1993)",3.785714286,4.217391304,121,4.054054054,37,121,Drama
477,Boomerang (1992),2.722222222,2.785714286,122,2.768041237,388,122,Comedy|Romance
674,Chungking Express (1994),3.871794872,3.868421053,123,3.869565217,345,123,Drama|Mystery|Romance
3141,"Star Maker, The (Uomo delle stelle, L') (1995)",3.5,3.1,124,3.214285714,14,124,Drama
1192,Flirting With Disaster (1996),3.75,3.863247863,125,3.833333333,318,125,Comedy
2346,"NeverEnding Story III, The (1994)",2.357142857,1.845070423,126,1.98989899,297,126,Adventure|Children's|Fantasy
2991,"Silence of the Palace, The (Saimt el Qusur) (1994)",1,,127,1,1,127,Drama
1788,Jupiter's Wife (1994),4.166666667,4.5,128,4.333333333,12,128,Documentary
2577,Pie in the Sky (1995),3,3.666666667,129,3.307692308,26,129,Comedy|Romance
173,Angela (1995),3,5,130,4,2,130,Drama
1236,Frankie Starlight (1995),2.857142857,3.222222222,131,3.0625,32,131,Drama|Romance
1733,Jade (1995),2.294117647,2.540540541,132,2.494505495,91,132,Thriller
2412,Nueba Yol (1995),,1,133,1,2,133,Comedy|Drama
3089,Sonic Outlaws (1995),4,4,134,4,2,134,Documentary
970,Down Periscope (1996),2.916666667,2.788990826,135,2.812030075,133,135,Comedy
1272,From the Journals of Jean Seberg (1995),3.4,3,136,3.25,8,136,Documentary
2072,Man of the Year (1995),2,3.181818182,137,3,13,137,Documentary
2338,"Neon Bible, The (1995)",1,4,138,2.5,2,138,Drama
3274,Target (1995),4,,139,4,2,139,Action|Drama
3498,Up Close and Personal (1996),3.333333333,2.96875,140,3.165467626,278,140,Drama|Romance
402,"Birdcage, The (1996)",3.726890756,3.454954955,141,3.549853372,682,141,Comedy
2951,Shadows (Cienie) (1988),,1,142,1,1,142,Drama
547,"Brothers McMullen, The (1995)",3.446153846,3.369636964,144,3.3926097,433,144,Comedy
263,Bad Boys (1995),3.5625,3.26969697,145,3.29558011,362,145,Action
126,"Amazing Panda Adventure, The (1995)",3.6,2,146,2.888888889,36,146,Adventure|Children's
295,"Basketball Diaries, The (1995)",3.6875,3.488721805,147,3.541436464,181,147,Drama
240,"Awfully Big Adventure, An (1995)",2.538461538,3.1,148,2.782608696,23,148,Drama
125,Amateur (1994),3.846153846,3.764705882,149,3.787234043,141,149,Crime|Drama|Thriller
195,Apollo 13 (1995),4.054878049,4.080173348,150,4.073541167,1251,150,Drama
2806,Rob Roy (1995),3.551724138,3.601466993,151,3.588447653,1662,151,Drama|Romance|War
54,"Addiction, The (1995)",2.952380952,3.020833333,152,3,69,152,Horror
302,Batman Forever (1995),2.901234568,2.57398374,153,2.642213642,3108,153,Action|Adventure|Comedy|Crime
341,Belle de jour (1967),3.688888889,3.739837398,154,3.726190476,168,154,Drama
369,Beyond Rangoon (1995),3.56,3.35483871,155,3.413793103,174,155,Drama|War
457,Blue in the Face (1995),3.75,3.47826087,156,3.560606061,66,156,Comedy
585,Canadian Bacon (1994),2.896551724,2.702531646,157,2.732620321,374,157,Comedy|War
611,Casper (1995),3.291139241,2.844444444,158,2.980694981,518,158,Adventure|Children's
709,Clockers (1995),3.3125,3.28,159,3.284482759,116,159,Drama
750,Congo (1995),2.347368421,2.217021277,160,2.238938053,2260,160,Action|Adventure|Mystery|Sci-Fi
793,Crimson Tide (1995),3.601449275,3.750803859,161,3.723684211,2280,161,Drama|Thriller|War
810,Crumb (1994),3.936936937,4.1,162,4.063136456,491,162,Documentary
908,Desperado (1995),3.172413793,3.51214128,163,3.457407407,1620,163,Action|Romance|Thriller
920,Devil in a Blue Dress (1995),3.392523364,3.636029412,164,3.567282322,1516,164,Crime|Film-Noir|Mystery|Thriller
931,Die Hard: With a Vengeance (1995),3.461538462,3.577683616,165,3.561212121,1650,165,Action|Thriller
961,"Doom Generation, The (1995)",2.571428571,2.425531915,166,2.459016393,122,166,Comedy|Drama
1142,Feast of July (1995),3.5,3.666666667,167,3.6,5,167,Drama
1169,First Knight (1995),3.182608696,2.842105263,168,2.950276243,1448,168,Action|Adventure|Drama|Romance
1241,Free Willy 2: The Adventure Home (1995),2.34375,1.888888889,169,2.017699115,339,169,Adventure|Children's|Drama
1443,Hackers (1995),3.245901639,3.123076923,170,3.146417445,963,170,Action|Crime|Thriller
1750,Jeffrey (1995),3.535714286,3.584615385,171,3.569892473,93,171,Comedy
1766,Johnny Mnemonic (1995),2.654545455,2.565756824,172,2.576419214,1374,172,Action|Sci-Fi|Thriller
1774,Judge Dredd (1995),2.385714286,2.29757085,173,2.308510638,1692,173,Action|Adventure|Sci-Fi
1791,Jury Duty (1995),2.266666667,2.318181818,174,2.308641975,81,174,Comedy
1815,Kids (1995),3.481481481,3.475903614,175,3.477272727,220,175,Drama
1964,Living in Oblivion (1995),4.06,3.870967742,176,3.917073171,205,176,Comedy
1980,Lord of Illusions (1995),2.8125,2.723577236,177,2.73381295,139,177,Horror
1996,Love & Human Remains (1993),3.5,3.470588235,178,3.473684211,19,178,Comedy
2034,Mad Love (1995),2.333333333,2,179,2.208333333,96,179,Drama|Romance
2054,Mallrats (1995),3.434782609,3.576601671,180,3.54767184,451,180,Comedy
2171,Mighty Morphin Power Rangers: The Movie (1995),1.777777778,1.573333333,181,1.612903226,186,181,Action|Children's
2221,Moonlight and Valentino (1995),3.282051282,2.6,182,3.142857143,98,182,Drama|Romance
2277,Mute Witness (1994),3.142857143,3.590909091,183,3.482758621,29,183,Thriller
2316,Nadja (1994),3.166666667,3.4,184,3.346153846,26,184,Drama
2339,"Net, The (1995)",3.099173554,2.808035714,185,2.869947276,1138,185,Sci-Fi|Thriller
2386,Nine Months (1995),2.7,2.801526718,186,2.763033175,211,186,Comedy
2522,Party Girl (1995),3.186046512,3.274193548,187,3.238095238,105,187,Comedy
2674,"Prophecy, The (1995)",2.972222222,3.279220779,188,3.221052632,190,188,Horror
2741,Reckless (1995),3,3.666666667,189,3.4,15,189,Comedy
2875,Safe (1995),3.642857143,3.791666667,190,3.75,100,190,Thriller
2898,"Scarlet Letter, The (1995)",2.76,2.32,191,2.466666667,75,191,Drama
2985,"Show, The (1995)",2,4,192,3,2,192,Documentary
2987,Showgirls (1995),1.709090909,2.166666667,193,2.050691244,217,193,Drama
3048,Smoke (1995),3.771929825,3.75,194,3.755868545,213,194,Drama
3078,Something to Talk About (1995),2.967741935,2.676056338,195,2.841463415,492,195,Comedy|Drama|Romance
3110,Species (1995),2.661764706,2.846473029,196,2.823636364,1100,196,Horror|Sci-Fi
3159,"Stars Fell on Henrietta, The (1995)",3.428571429,2.8,197,3.058823529,17,197,Drama
3187,Strange Days (1995),3.125,3.321904762,198,3.295867769,1815,198,Action|Crime|Sci-Fi
3478,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",3.934782609,3.732394366,199,3.811965812,234,199,Drama|Musical
3355,"Tie That Binds, The (1995)",1.4,3.142857143,200,2.416666667,12,200,Thriller
3347,Three Wishes (1995),2.363636364,2.772727273,201,2.636363636,33,201,Drama
3401,Total Eclipse (1995),2.571428571,2.47826087,202,2.5,60,202,Drama|Romance
3384,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",3.486842105,2.795275591,203,3.054187192,203,203,Comedy
3482,Under Siege 2: Dark Territory (1995),2.782608696,2.938888889,204,2.921182266,203,204,Action
3494,Unstrung Heroes (1995),3.606060606,3.615384615,205,3.611764706,170,205,Comedy|Drama
3497,Unzipped (1995),3.903225806,3.529411765,206,3.670731707,82,206,Documentary
3545,"Walk in the Clouds, A (1995)",3.116666667,3.151515152,207,3.132420091,438,207,Drama|Romance
3564,Waterworld (1995),2.593495935,2.640151515,208,2.631336406,1302,208,Action|Adventure
3611,White Man's Burden (1995),2.75,2.409090909,209,2.461538462,52,209,Drama
3626,Wild Bill (1995),,3.146341463,210,3.146341463,41,210,Western
550,"Browning Version, The (1994)",3.588235294,3.529411765,211,3.558823529,34,211,Drama
565,Bushwhacked (1995),2,1.888888889,212,1.928571429,14,212,Comedy
563,Burnt By the Sun (Utomlyonnye solntsem) (1994),4.069767442,4.05,213,4.056910569,123,213,Drama
334,Before the Rain (Pred dozhdot) (1994),4.6,4.173913043,214,4.25,28,214,Drama
332,Before Sunrise (1995),3.676056338,3.91011236,215,3.80625,320,215,Drama|Romance
397,Billy Madison (1995),3.141025641,3.194945848,216,3.183098592,355,216,Comedy
253,"Babysitter, The (1995)",2.24,2.871794872,217,2.625,128,217,Drama|Thriller
500,Boys on the Side (1995),3.198019802,3.053191489,218,3.128205128,390,218,Comedy|Drama
819,"Cure, The (1995)",2.909090909,3.454545455,219,3.181818182,22,219,Drama
613,Castle Freak (1995),1.75,1.833333333,220,1.821428571,28,220,Horror
681,Circle of Friends (1995),3.666666667,3.366412214,222,3.547112462,658,222,Drama|Romance
706,Clerks (1994),3.746875,4.005494505,223,3.946883853,1412,223,Comedy
957,Don Juan DeMarco (1995),3.462962963,3.339285714,224,3.39119171,1158,224,Comedy|Drama|Romance
943,Disclosure (1994),3.122807018,3.187817259,225,3.173228346,508,225,Drama|Thriller
981,Dream Man (1995),,2,226,2,1,226,Thriller
991,Drop Zone (1994),2.538461538,2.689655172,227,2.674418605,129,227,Action
912,Destiny Turns on the Radio (1995),1,2.25,228,2.153846154,13,228,Comedy
885,Death and the Maiden (1994),3.423076923,3.524390244,229,3.5,216,229,Drama|Thriller
956,Dolores Claiborne (1994),3.423728814,3.467532468,230,3.452722063,698,230,Drama|Thriller
1001,Dumb & Dumber (1994),2.697986577,3.336594912,231,3.192424242,660,231,Comedy
1016,Eat Drink Man Woman (1994),4.095890411,4.06,232,4.075144509,692,232,Comedy|Drama
1080,Exotica (1994),3.868421053,3.563451777,233,3.612765957,235,233,Drama
1076,Exit to Eden (1994),2.333333333,2.192982456,234,2.224489796,147,234,Comedy
1019,Ed Wood (1994),3.600858369,3.729106628,235,3.696871629,1854,235,Comedy|Drama
1247,French Kiss (1995),3.535714286,3.056962025,236,3.303680982,652,236,Comedy|Romance
1225,Forget Paris (1995),3.02970297,2.935897436,237,2.972762646,514,237,Comedy|Romance
1116,Far From Home: The Adventures of Yellow Dog (1995),3.166666667,2.6,238,2.8125,64,238,Adventure|Children's
1385,"Goofy Movie, A (1995)",3.038461538,2.801724138,239,2.875,672,239,Animation|Children's|Comedy|Romance
1533,Hideaway (1995),2.272727273,2.852941176,240,2.711111111,45,240,Thriller
1195,Fluke (1995),3.307692308,3.3125,241,3.310344828,58,241,Children's|Drama
1123,Farinelli: il castrato (1994),3.606060606,3.425531915,242,3.5,160,242,Drama|Musical
1387,Gordy (1995),3,1.875,243,2.1,10,243,Comedy
1436,Gumby: The Movie (1995),2,1.875,244,1.9,20,244,Animation|Children's
1341,"Glass Shield, The (1994)",2.75,3.142857143,245,3,22,245,Crime|Drama
1572,Hoop Dreams (1994),4.265432099,4.166064982,246,4.188547486,716,246,Documentary
1507,Heavenly Creatures (1994),3.903409091,3.843853821,247,3.865828092,1908,247,Drama|Fantasy|Romance|Thriller
1596,Houseguest (1994),2.962264151,2.882352941,248,2.913043478,138,248,Comedy
1657,Immortal Beloved (1994),3.841584158,3.70625,249,3.75862069,522,249,Drama|Romance
1510,Heavyweights (1994),2.25,2.727272727,250,2.6,60,250,Children's|Comedy
1615,"Hunted, The (1995)",4,3.1875,251,3.277777778,18,251,Action
1645,I.Q. (1994),3.305555556,3.246636771,252,3.269754768,734,252,Comedy|Romance
1700,Interview with the Vampire (1994),3.502793296,3.531305903,253,3.524390244,1476,253,Drama|Horror
1749,Jefferson in Paris (1995),3.214285714,3,254,3.078947368,38,254,Drama
1754,"Jerky Boys, The (1994)",1.75,2.080645161,255,2.060606061,66,255,Comedy
1785,Junior (1994),2.777777778,2.609756098,256,2.651376147,436,256,Comedy|Sci-Fi
1792,Just Cause (1995),3.535714286,3.127906977,257,3.228070175,228,257,Mystery|Thriller
1811,"Kid in King Arthur's Court, A (1995)",2.8,2.278846154,258,2.423611111,720,258,Adventure|Children's|Comedy|Fantasy|Romance
1844,Kiss of Death (1995),2.8,2.850574713,259,2.843137255,306,259,Crime|Drama|Thriller
3153,Star Wars: Episode IV - A New Hope (1977),4.302936631,4.495307167,260,4.453694417,11964,260,Action|Adventure|Fantasy|Sci-Fi
1957,Little Women (1994),3.870588235,3.32173913,261,3.649122807,285,261,Drama
1951,"Little Princess, A (1995)",3.808080808,3.95890411,262,3.872093023,344,262,Children's|Drama
1867,Ladybird Ladybird (1994),4,3.789473684,263,3.857142857,28,263,Drama
1048,"Enfer, L' (1994)",1,3.75,264,3.2,5,264,Drama
1934,Like Water for Chocolate (Como agua para chocolate) (1992),4.078947368,3.81627907,265,3.932642487,1544,265,Drama|Romance
1912,Legends of the Fall (1994),3.495495495,3.393374741,266,3.425531915,2820,266,Drama|Romance|War|Western
2048,Major Payne (1994),3,2.651376147,267,2.728571429,140,267,Comedy
1950,Little Odessa (1994),3.5,3.347826087,268,3.37037037,54,268,Drama
2287,My Crazy Life (Mi vida loca) (1993),3.607142857,3.444444444,269,3.527272727,55,269,Drama
1998,Love Affair (1994),3.160714286,2.739130435,270,3.037974684,158,270,Drama|Romance
1987,Losing Isaiah (1995),3.290322581,3,271,3.142857143,63,271,Drama
2042,"Madness of King George, The (1994)",3.746153846,3.71541502,272,3.725848564,383,272,Drama
2100,Mary Shelley's Frankenstein (1994),3.04,2.860824742,273,2.897540984,488,273,Drama|Horror
2071,Man of the House (1995),2.333333333,2.4,274,2.375,24,274,Comedy
2198,Mixed Nuts (1994),2.5,2.553571429,275,2.5375,80,275,Comedy
2176,Milk Money (1994),2.703296703,2.686131387,276,2.692982456,456,276,Comedy|Romance
2183,Miracle on 34th Street (1994),3.3,3.118181818,277,3.182352941,170,277,Drama
2155,Miami Rhapsody (1995),2.933333333,2.64,278,2.75,40,278,Comedy
2290,My Family (1995),3.76,3.666666667,279,3.717391304,46,279,Drama
2269,Murder in the First (1995),3.55,3.578947368,280,3.570754717,424,280,Drama|Thriller
2397,Nobody's Fool (1994),3.535211268,3.697530864,281,3.64806867,233,281,Drama
2335,Nell (1994),3.511111111,3.016,282,3.223255814,215,282,Drama
2349,New Jersey Drive (1995),2.5,3.142857143,283,3,36,283,Crime|Drama
2337,Nemesis 2: Nebula (1995),3,,286,3,3,286,Action|Sci-Fi|Thriller
2384,Nina Takes a Lover (1994),3.428571429,2.642857143,287,2.904761905,42,287,Comedy|Romance
2328,Natural Born Killers (1994),3.192982456,3.134812287,288,3.144285714,1400,288,Action|Thriller
2461,Only You (1994),3.488888889,3.147058824,289,3.341772152,316,289,Comedy|Romance
2448,Once Were Warriors (1994),4.155555556,3.829268293,290,3.916666667,336,290,Crime|Drama
2602,Poison Ivy II (1995),2.222222222,2.205128205,291,2.208333333,48,291,Thriller
2486,Outbreak (1995),3.303448276,3.260204082,292,3.268758527,2199,292,Action|Drama|Thriller
2665,"Professional, The (a.k.a. Leon: The Professional) (1994)",3.973684211,4.140518417,293,4.106175515,3692,293,Crime|Drama|Romance|Thriller
2545,"Perez Family, The (1995)",3.210526316,3,294,3.095238095,84,294,Comedy|Romance
2694,"Pyromaniac's Love Story, A (1995)",2.5,2.894736842,295,2.75862069,58,295,Comedy|Romance
2682,Pulp Fiction (1994),4.07195572,4.346838551,296,4.278212805,4342,296,Crime|Drama
2506,Panther (1995),4.666666667,2.92,297,3.107142857,28,297,Drama
2692,Pushing Hands (1992),4.153846154,3.6,298,3.913043478,23,298,Comedy
2647,Priest (1994),3.827586207,3.622807018,299,3.664335664,143,299,Drama
2705,Quiz Show (1994),3.731958763,3.769080235,300,3.758865248,705,300,Drama
2575,Picture Bride (1995),3.368421053,3.25,301,3.302325581,86,301,Drama|Romance
2697,Queen Margot (La Reine Margot) (1994),3.916666667,3.684210526,302,3.813953488,172,302,Drama|Romance
2702,"Quick and the Dead, The (1995)",3.042553191,2.967654987,303,2.976076555,1254,303,Action|Adventure|Western
2837,Roommates (1995),2.888888889,3.230769231,304,3.142857143,70,304,Comedy|Drama
2734,Ready to Wear (Pret-A-Porter) (1994),2.452380952,2.529411765,305,2.503937008,127,305,Comedy
3341,Three Colors: Red (1994),4.243478261,4.219178082,306,4.22754491,334,306,Drama
3340,Three Colors: Blue (1993),4.108433735,4.09375,307,4.098765432,243,307,Drama
3342,Three Colors: White (1994),3.985507246,3.954887218,308,3.965346535,202,308,Drama
2745,"Red Firecracker, Green Firecracker (1994)",3.625,3.75,309,3.6875,48,309,Drama
2763,Rent-a-Kid (1995),2.333333333,3,310,2.666666667,6,310,Comedy
2754,Relative Fear (1994),,3,311,3,2,311,Horror|Thriller
3202,Stuart Saves His Family (1995),2.541666667,2.409090909,312,2.4375,112,312,Comedy
3238,"Swan Princess, The (1994)",3,2.8,313,2.888888889,108,313,Animation|Children's
2925,"Secret of Roan Inish, The (1994)",3.894736842,3.822580645,314,3.85,300,314,Drama
3108,"Specialist, The (1994)",2.714285714,2.647482014,315,2.653594771,153,315,Action
3157,Stargate (1994),3.602272727,3.469148936,316,3.490143369,3348,316,Action|Adventure|Sci-Fi
2885,"Santa Clause, The (1994)",3.333333333,3.132743363,317,3.191887676,1923,317,Children's|Comedy|Fantasy
